id,name,category,price,description,specs,brand,rating,stock,weight,color,warranty,release_year,discount,is_available,storage,ram,display_size,battery,best_for
1,Realme C55,phone,15999,Бюджетный смартфон с быстрой зарядкой,"Экран: 6.72"", Камера: 64MP, Чипсет: Helio G88",Realme,4.3,45,"190g","Черный, Зеленый",2,2023,0,true,"128GB","8GB","6.72"","5000mAh","повседневное использование"
2,Xiaomi Redmi 12C,phone,12999,Доступный смартфон для базовых задач,"Экран: 6.71"", Камера: 50MP, Процессор: Helio G85",Xiaomi,4.1,67,"192g","Синий, Серый",1,2023,5,true,"64GB","4GB","6.71"","5000mAh","бюджетный сегмент"
3,Samsung Galaxy A04,phone,11999,Простой и надежный смартфон,"Экран: 6.5"", Камера: 50MP, Память: 64GB",Samsung,4.0,89,"192g","Черный, Медь",1,2022,0,true,"64GB","4GB","6.5"","5000mAh","базовые задачи"
4,Infinix Hot 30,phone,14999,Игровой смартфон начального уровня,"Экран: 6.78"", Частота: 90Hz, Процессор: Helio G88",Infinix,4.2,34,"196g","Синий, Оранжевый",1,2023,8,true,"128GB","8GB","6.78"","6000mAh","гейминг"
5,Tecno Spark 10,phone,13999,Смартфон с хорошей селфи-камерой,"Экран: 6.6"", Фронтальная: 32MP, Батарея: 5000mAh",Tecno,4.1,56,"195g","Белый, Фиолетовый",1,2023,0,true,"128GB","8GB","6.6"","5000mAh","селфи"
6,Acer Aspire 3,laptop,44999,Бюджетный ноутбук для учебы,"Экран: 15.6"", Процессор: Ryzen 5, ОС: Windows 11",Acer,4.2,23,"1.9kg","Черный",2,2023,10,true,"512GB SSD","8GB","15.6"","42Wh","учеба"
7,Lenovo IdeaPad 3,laptop,38999,Универсальный ноутбук для работы,"Экран: 14"", Процессор: Intel i3, Видеокарта: Intel UHD",Lenovo,4.3,31,"1.6kg","Серый",2,2023,5,true,"256GB SSD","8GB","14"","45Wh","работа"
8,HP 15s-eq2000nia,laptop,51999,Стильный ноутбук с AMD процессором,"Экран: 15.6"", Процессор: Ryzen 5, Память: 8GB",HP,4.4,19,"1.7kg","Серебристый",2,2023,0,true,"512GB SSD","8GB","15.6"","41Wh","универсальный"
9,ASUS Vivobook 15,laptop,47999,Тонкий и легкий ноутбук,"Экран: 15.6"", Процессор: Intel i5, Вес: 1.8кг",ASUS,4.3,27,"1.8kg","Синий",2,2023,7,true,"512GB SSD","8GB","15.6"","50Wh","портативность"
10,Dell Inspiron 15,laptop,53999,Надежный ноутбук для бизнеса,"Экран: 15.6"", Процессор: Intel i5, Клавиатура: с подсветкой",Dell,4.5,15,"1.8kg","Черный",2,2023,0,true,"512GB SSD","8GB","15.6"","54Wh","бизнес"
11,Samsung Galaxy A54,phone,34999,Смартфон среднего класса с IP67,"Экран: 6.4"", Защита: IP67, Процессор: Exynos 1380",Samsung,4.6,42,"202g","Фиолетовый, Зеленый",2,2023,5,true,"128GB","8GB","6.4"","5000mAh","всегда на связи"
12,Xiaomi Poco X5 Pro,phone,31999,Игровой смартфон с AMOLED,"Экран: 6.67"" AMOLED, Частота: 120Hz, Зарядка: 67W",Xiaomi,4.5,38,"181g","Синий, Желтый",2,2023,8,true,"256GB","8GB","6.67"","5000mAh","гейминг"
13,Realme 11 Pro+,phone,37999,Смартфон с камерой 200MP,"Камера: 200MP, Зарядка: 100W, Экран: 6.7"" Curved AMOLED",Realme,4.4,29,"183g","Золотой, Черный",2,2023,0,true,"256GB","12GB","6.7"","5000mAh","фотография"
14,OnePlus Nord CE 3,phone,32999,Смартфон с чистой ОС и быстрой зарядкой,"Экран: 6.7"", Зарядка: 80W, Процессор: Snapdragon 782G",OnePlus,4.5,33,"184g","Серый, Голубой",2,2023,6,true,"256GB","8GB","6.7"","5000mAh","производительность"
15,Google Pixel 7a,phone,35999,Компактный смартфон с лучшей камерой,"Экран: 6.1"", Камера: 64MP, Процессор: Tensor G2",Google,4.7,26,"193g","Черный, Белый",2,2023,0,true,"128GB","8GB","6.1"","4385mAh","фотография"
16,ASUS TUF Gaming F15,laptop,89999,Игровой ноутбук с RTX 4050,"Экран: 15.6"" 144Hz, Видеокарта: RTX 4050, Процессор: Intel i5",ASUS,4.6,12,"2.2kg","Серый",2,2023,12,true,"512GB SSD","16GB","15.6"","90Wh","гейминг"
17,Lenovo Legion 5,laptop,94999,Производительный игровой ноутбук,"Экран: 16"" 165Hz, Видеокарта: RTX 4060, Процессор: Ryzen 7",Lenovo,4.7,9,"2.4kg","Синий",2,2023,0,true,"1TB SSD","16GB","16"","80Wh","гейминг"
18,HP Victus 16,laptop,86999,Доступный игровой ноутбук,"Экран: 16.1"" 144Hz, Видеокарта: RTX 4050, Процессор: Intel i7",HP,4.5,14,"2.5kg","Черный",2,2023,8,true,"512GB SSD","16GB","16.1"","83Wh","гейминг"
19,MSI Katana 15,laptop,79999,Игровой ноутбук с подсветкой RGB,"Экран: 15.6"" 144Hz, Видеокарта: RTX 4050, Клавиатура: RGB",MSI,4.4,17,"2.3kg","Черный",2,2023,5,true,"512GB SSD","16GB","15.6"","53Wh","гейминг"
20,Acer Nitro 5,laptop,84999,Популярный игровой ноутбук,"Экран: 15.6"" 165Hz, Видеокарта: RTX 4060, Охлаждение: Dual Fan",Acer,4.5,11,"2.4kg","Красный",2,2023,10,true,"1TB SSD","16GB","15.6"","90Wh","гейминг"
21,Apple MacBook Air 13 M1,laptop,89999,Легкий и мощный ультрабук,"Экран: 13.3"" Retina, Процессор: Apple M1, Время работы: 18ч",Apple,4.8,8,"1.3kg","Серебристый, Золотой",1,2023,0,true,"256GB SSD","8GB","13.3"","49.9Wh","портативность"
22,Dell XPS 13 Plus,laptop,189999,Премиальный ультрабук с современным дизайном,"Экран: 13.4"" 4K, Процессор: Intel i7, Сенсорная панель",Dell,4.7,5,"1.3kg","Платиновый",2,2023,0,true,"1TB SSD","16GB","13.4"","55Wh","премиум"
23,Apple MacBook Pro 14 M2,laptop,199999,Профессиональный ноутбук для творчества,"Экран: 14.2"" Liquid Retina XDR, Процессор: M2 Pro, Память: 16GB",Apple,4.9,4,"1.6kg","Серебристый, Космос",1,2023,0,true,"512GB SSD","16GB","14.2"","70Wh","творчество"
24,ASUS ROG Zephyrus G14,laptop,159999,Мощный игровой ноутбук в компактном корпусе,"Экран: 14"" 165Hz, Видеокарта: RTX 4060, Процессор: Ryzen 9",ASUS,4.8,6,"1.7kg","Белый",2,2023,5,true,"1TB SSD","16GB","14"","76Wh","гейминг"
25,Lenovo ThinkPad X1 Carbon,laptop,149999,Бизнес-ноутбук премиум-класса,"Экран: 14"" 2.8K, Процессор: Intel i7, Защита: MIL-STD-810H",Lenovo,4.7,7,"1.1kg","Черный",3,2023,0,true,"512GB SSD","16GB","14"","57Wh","бизнес"
26,Microsoft Surface Laptop 5,laptop,129999,Стильный ноутбук с сенсорным экраном,"Экран: 13.5"" PixelSense, Сенсорный, Процессор: Intel i7",Microsoft,4.6,9,"1.3kg","Платиновый, Бархатно-коричневый",2,2023,8,true,"512GB SSD","16GB","13.5"","47.4Wh","дизайн"
27,Razer Blade 15,laptop,179999,Игровой ноутбук с алюминиевым корпусом,"Экран: 15.6"" 240Hz, Видеокарта: RTX 4070, Подсветка: Chroma RGB",Razer,4.8,3,"2.0kg","Черный",2,2023,0,true,"1TB SSD","16GB","15.6"","80Wh","гейминг"
28,Apple MacBook Pro 16 M2 Max,laptop,299999,Флагманский ноутбук для профессионалов,"Экран: 16.2"" Liquid Retina XDR, Процессор: M2 Max, Память: 32GB",Apple,5.0,2,"2.1kg","Серебристый, Космос",1,2023,0,true,"1TB SSD","32GB","16.2"","100Wh","профессионалы"
29,Samsung Galaxy S24 Ultra,phone,109999,Флагманский смартфон с AI-функциями,"Экран: 6.8"" Dynamic AMOLED 2X, S Pen, Процессор: Snapdragon 8 Gen 3",Samsung,4.8,18,"232g","Титановый, Фиолетовый",2,2024,0,true,"512GB","12GB","6.8"","5000mAh","флагман"
30,Apple iPhone 15 Pro Max,phone,124999,Премиальный смартфон с титановым корпусом,"Экран: 6.7"" Super Retina XDR, Камера: 48MP, Чип: A17 Pro",Apple,4.9,15,"221g","Титановый, Синий",1,2023,0,true,"256GB","8GB","6.7"","4422mAh","премиум"
31,Google Pixel 8 Pro,phone,89999,Смартфон с инновационными AI-функциями,"Экран: 6.7"" Super Actua, Камера: 50MP, Чип: Tensor G3",Google,4.7,22,"213g","Бирюзовый, Кремовый",2,2023,5,true,"256GB","12GB","6.7"","5050mAh","AI-функции"
32,OnePlus 12,phone,69999,Флагман с быстрой зарядкой 100W,"Экран: 6.82"" 2K 120Hz, Зарядка: 100W, Процессор: Snapdragon 8 Gen 3",OnePlus,4.8,19,"220g","Зеленый, Черный",2,2024,0,true,"256GB","16GB","6.82"","5400mAh","зарядка"
33,Xiaomi 14 Ultra,phone,99999,Смартфон с профессиональной камерой,"Камера: 50MP Leica, Зум: 5x, Видео: 8K, Стабилизация",Xiaomi,4.7,13,"230g","Черный, Белый",2,2024,8,true,"512GB","16GB","6.73"","5300mAh","фотография"
34,ASUS ROG Phone 8 Pro,phone,89999,Игровой смартфон с активным охлаждением,"Экран: 6.78"" 165Hz, Охлаждение: AeroActive Cooler X, Кнопки: AirTrigger",ASUS,4.6,8,"225g","Черный",2,2024,0,true,"512GB","16GB","6.78"","5500mAh","гейминг"
35,Sony Xperia 1 V,phone,94999,Смартфон для создания контента,"Экран: 6.5"" 4K HDR, Камера: Exmor T, Аудио: Hi-Res, 3.5mm",Sony,4.5,11,"187g","Черный, Платиновый",2,2023,5,true,"256GB","12GB","6.5"","5000mAh","контент"
36,Huawei P60 Pro,phone,79999,Смартфон с инновационной камерой,"Камера: 48MP с изменяемой апертурой, Зум: 3.5x, Диафрагма: f/1.4-f/4.0",Huawei,4.4,16,"200g","Черный, Фиолетовый",2,2023,10,true,"256GB","8GB","6.67"","4815mAh","камера"
37,Nothing Phone (2),phone,49999,Смартфон с уникальным дизайном Glyph Interface,"Экран: 6.7"" LTPO OLED, Дизайн: Glyph Interface, Процессор: Snapdragon 8+ Gen 1",Nothing,4.3,24,"201g","Белый, Темно-серый",2,2023,0,true,"256GB","12GB","6.7"","4700mAh","дизайн"
38,Honor Magic 5 Pro,phone,59999,Смартфон с продвинутой системой камер,"Камера: 50MP Triple, Стабилизация: Sensor Shift, Батарея: 5100mAh",Honor,4.5,20,"219g","Черный, Зеленый",2,2023,7,true,"256GB","12GB","6.81"","5100mAh","камера"
39,Motorola Edge 40 Ultra,phone,54999,Смартфон с подводной съемкой,"Защита: IP68, Подводная съемка, Зарядка: 125W, Экран: pOLED 144Hz",Motorola,4.4,17,"199g","Черный, Бирюзовый",2,2023,5,true,"512GB","12GB","6.67"","4600mAh","подводная съемка"
40,ZTE Nubia Red Magic 9 Pro,phone,64999,Игровой смартфон с вентилятором,"Охлаждение: встроенный вентилятор, Частота: 1200Hz, Кнопки: сенсорные",ZTE,4.6,10,"229g","Черный, Прозрачный",2,2023,0,true,"512GB","16GB","6.8"","6500mAh","гейминг"
41,Apple iPad Air 5,tablet,59999,Мощный планшет с чипом M1,"Экран: 10.9"" Liquid Retina, Процессор: M1, Поддержка Apple Pencil 2",Apple,4.7,25,"461g","Серый, Розовый",1,2023,0,true,"64GB","8GB","10.9"","28.6Wh","универсальный"
42,Samsung Galaxy Tab S9,tablet,89999,Планшет с дисплеем Dynamic AMOLED 2X,"Экран: 11"" Dynamic AMOLED 2X, S Pen в комплекте, Защита: IP68",Samsung,4.6,14,"498g","Бежевый, Графитовый",2,2023,8,true,"256GB","12GB","11"","8400mAh","творчество"
43,Microsoft Surface Pro 9,tablet,129999,Трансформер с Windows 11,"Экран: 13"" PixelSense, Процессор: Intel i5, Совместимость: Surface Pen",Microsoft,4.5,8,"879g","Платиновый, Сапфировый",2,2023,0,true,"256GB SSD","8GB","13"","47.9Wh","работа"
44,Huawei MatePad Pro 11,tablet,49999,Планшет с гармонией дизайна и технологий,"Экран: 11"" OLED, Аудио: Huawei Histen, Стилус: M-Pencil 2",Huawei,4.4,19,"449g","Белый, Черный",2,2023,5,true,"128GB","8GB","11"","8300mAh","мультимедиа"
45,Xiaomi Pad 6,tablet,34999,Планшет с высоким разрешением экрана,"Экран: 11"" 2.8K 144Hz, Процессор: Snapdragon 8+ Gen 1, Зарядка: 67W",Xiaomi,4.3,22,"490g","Золотой, Серый",2,2023,10,true,"128GB","8GB","11"","8840mAh","развлечения"
46,Apple Watch Series 9,wearable,39999,Умные часы с функцией Double Tap,"Экран: 45mm Always-On, Чип: S9, Функция: Double Tap",Apple,4.8,35,"51.5g","Алюминий, Нержавейка",1,2023,0,true,"64GB","1GB","1.9"","308mAh","фитнес"
47,Samsung Galaxy Watch 6 Classic,wearable,29999,Умные часы с вращающимся безелем,"Экран: 47mm Super AMOLED, Безель: вращающийся, Датчик: BioActive",Samsung,4.6,28,"59g","Черный, Серебристый",2,2023,5,true,"16GB","2GB","1.5"","425mAh","здоровье"
48,Apple AirPods Pro 2,audio,24999,Наушники с шумоподавлением,"Шумоподавление: Adaptive Audio, Зарядка: MagSafe, Водозащита: IP54",Apple,4.7,42,"5.3g","Белый",1,2023,0,true,"-","-","-","-","аудио"
49,Sony WH-1000XM5,audio,34999,Наушники с лучшим шумоподавлением,"Шумоподавление: HD Noise Canceling Processor V1, Автономность: 30ч",Sony,4.9,31,"250g","Черный, Серебристый",2,2023,8,true,"-","-","-","-","шумоподавление"
50,Samsung Galaxy Buds2 Pro,audio,19999,Беспроводные наушники с Hi-Fi звуком,"Звук: 24-bit Hi-Fi, Шумоподавление: Intelligent ANC, Форм-фактор: in-ear",Samsung,4.5,38,"5.5g","Фиолетовый, Белый",2,2023,10,true,"-","-","-","-","музыка"
51,Nokia C32,phone,8999,Смартфон с чистой ОС и долгой батареей,"Экран: 6.5"", Камера: 50MP, Батарея: 5000mAh",Nokia,3.9,78,"184g","Черный, Голубой",1,2023,0,true,"64GB","3GB","6.5"","5000mAh","базовые задачи"
52,Itel Vision 5,phone,7499,Доступный смартфон с большим экраном,"Экран: 6.8"", Батарея: 6000mAh, Память: 128GB",Itel,3.8,92,"195g","Синий, Зеленый",1,2023,5,true,"128GB","4GB","6.8"","6000mAh","бюджетный сегмент"
53,Realme Narzo 60,phone,18999,Стильный смартфон с быстрой зарядкой,"Экран: 6.43"" Super AMOLED, Зарядка: 45W, Дизайн: Vegan Leather",Realme,4.2,41,"175g","Кожа, Черный",1,2023,8,true,"128GB","8GB","6.43"","5000mAh","повседневное использование"
54,Xiaomi Redmi Note 12,phone,21999,Смартфон с AMOLED-экраном,"Экран: 6.67"" AMOLED, Частота: 120Hz, Камера: 48MP",Xiaomi,4.3,55,"188g","Серый, Голубой",2,2023,10,true,"128GB","6GB","6.67"","5000mAh","мультимедиа"
55,Samsung Galaxy M14,phone,16999,Смартфон с огромной батареей,"Экран: 6.6"", Батарея: 6000mAh, Процессор: Exynos 1330",Samsung,4.1,63,"206g","Синий, Серебристый",2,2023,0,true,"128GB","4GB","6.6"","6000mAh","автономность"
56,Oppo A78,phone,19999,Смартфон с быстрой зарядкой 67W,"Экран: 6.56"", Зарядка: 67W, Аудио: Stereo Speakers",Oppo,4.2,48,"188g","Синий, Черный",2,2023,5,true,"128GB","8GB","6.56"","5000mAh","музыка"
57,Vivo Y36,phone,17999,Смартфон с функцией быстрой зарядки,"Экран: 6.64"", Зарядка: 44W, Камера: 50MP",Vivo,4.0,57,"190g","Золотой, Черный",1,2023,0,true,"128GB","8GB","6.64"","5000mAh","повседневное использование"
58,Lenovo IdeaPad 1,laptop,32999,Бюджетный ноутбук для офиса,"Экран: 15.6"", Процессор: AMD 3020e, ОС: Windows 11",Lenovo,4.0,29,"1.6kg","Серый",1,2023,0,true,"256GB SSD","4GB","15.6"","35Wh","офис"
59,Acer Extensa 15,laptop,36999,Надежный ноутбук для бизнеса,"Экран: 15.6"", Процессор: Intel i3, Защита: HDD Shock Protection",Acer,4.1,26,"1.7kg","Черный",2,2023,8,true,"512GB HDD","4GB","15.6"","36Wh","бизнес"
60,ASUS Laptop 14,laptop,41999,Компактный ноутбук для учебы,"Экран: 14"", Процессор: Intel i5, Вес: 1.4кг",ASUS,4.2,33,"1.4kg","Серебристый",2,2023,5,true,"512GB SSD","8GB","14"","42Wh","учеба"
61,Dell Vostro 15,laptop,46999,Бизнес-ноутбук с защитой данных,"Экран: 15.6"", Процессор: Intel i5, Безопасность: TPM 2.0",Dell,4.3,21,"1.8kg","Черный",2,2023,0,true,"512GB SSD","8GB","15.6"","42Wh","бизнес"
62,HP Pavilion 15,laptop,56999,Мультимедийный ноутбук,"Экран: 15.6"" IPS, Аудио: B&O, Видеокарта: MX550",HP,4.4,18,"1.7kg","Серебристый, Золотой",2,2023,10,true,"512GB SSD","8GB","15.6"","41Wh","развлечения"
63,Apple iPhone SE 3,phone,42999,Компактный смартфон с чипом A15,"Экран: 4.7"", Чип: A15 Bionic, Камера: 12MP",Apple,4.5,37,"144g","Красный, Белый",1,2023,0,true,"64GB","4GB","4.7"","2018mAh","компактность"
64,Google Pixel 6a,phone,29999,Смартфон с отличной камерой,"Экран: 6.1"", Камера: 12.2MP, Чип: Tensor",Google,4.6,44,"178g","Зеленый, Черный",2,2022,15,true,"128GB","6GB","6.1"","4410mAh","фотография"
65,OnePlus Nord N30,phone,24999,Смартфон с быстрой зарядкой,"Экран: 6.72"", Зарядка: 50W, Аудио: 3.5mm jack",OnePlus,4.2,51,"195g","Серый, Зеленый",1,2023,5,true,"128GB","8GB","6.72"","5000mAh","повседневное использование"
66,Samsung Galaxy Z Flip5,phone,79999,Складной смартфон с гибким экраном,"Экран: 6.7"" Foldable, Внешний экран: 3.4"", Дизайн: компактный",Samsung,4.4,16,"187g","Фиолетовый, Черный",2,2023,0,true,"256GB","8GB","6.7"","3700mAh","стиль"
67,Motorola Razr 40,phone,59999,Складной смартфон с большим внешним экраном,"Экран: 6.9"" Foldable, Внешний экран: 3.6"", Дизайн: ретро",Motorola,4.3,19,"189g","Черный, Ванильный",2,2023,8,true,"256GB","8GB","6.9"","4200mAh","стиль"
68,Apple iPad 10,tablet,44999,Универсальный планшет,"Экран: 10.9"" Liquid Retina, Процессор: A14, Поддержка Magic Keyboard",Apple,4.6,32,"477g","Синий, Розовый",1,2023,0,true,"64GB","4GB","10.9"","28.6Wh","универсальный"
69,Samsung Galaxy Tab A8,tablet,19999,Бюджетный планшет для развлечений,"Экран: 10.5"" LCD, Аудио: Quad Speakers, Память: 32GB",Samsung,4.0,67,"508g","Серый, Серебристый",1,2023,10,true,"32GB","3GB","10.5"","7040mAh","развлечения"
70,Lenovo Tab M10,tablet,15999,Планшет для детей и семьи,"Экран: 10.1"" HD, Родительский контроль, Процессор: MediaTek",Lenovo,3.9,74,"460g","Серый, Синий",1,2023,0,true,"32GB","3GB","10.1"","5000mAh","семья"
71,Amazon Fire HD 10,tablet,14999,Планшет с голосовым помощником Alexa,"Экран: 10.1"" HD, Голосовой помощник: Alexa, Экосистема: Amazon",Amazon,3.8,81,"465g","Черный, Белый",1,2023,5,true,"32GB","3GB","10.1"","6500mAh","развлечения"
72,Xiaomi Redmi Pad SE,tablet,18999,Планшет с качественным экраном,"Экран: 11"" 90Hz, Технология: TÜV认证, Батарея: 8000mAh",Xiaomi,4.1,58,"478g","Серый, Лавандовый",1,2023,8,true,"128GB","6GB","11"","8000mAh","учеба"
73,Apple Watch SE 2,wearable,24999,Доступные умные часы Apple,"Экран: 40mm Retina, Чип: S8, Фитнес-трекинг",Apple,4.5,47,"36g","Алюминий, Золотой",1,2023,0,true,"32GB","1GB","1.78"","245mAh","фитнес"
74,Huawei Watch GT 4,wearable,19999,Умные часы с длительной автономностью,"Экран: 1.43"" AMOLED, Автономность: 14 дней, Датчики: SpO2",Huawei,4.3,39,"48g","Серебристый, Черный",2,2023,10,true,"4GB","-","1.43"","455mAh","здоровье"
75,Xiaomi Mi Band 8,wearable,3999,Фитнес-браслет с AMOLED-экраном,"Экран: 1.62"" AMOLED, Автономность: 16 дней, Отслеживание: 150+ режимов",Xiaomi,4.4,89,"13g","Черный, Синий",1,2023,15,true,"-","-","1.62"","190mAh","фитнес"
76,Apple AirPods 3,audio,17999,Беспроводные наушники с пространственным звуком,"Звук: Spatial Audio, Защита: IPX4, Совместимость: MagSafe",Apple,4.6,56,"4.3g","Белый",1,2023,0,true,"-","-","-","-","аудио"
77,Samsung Galaxy Buds Live,audio,12999,Наушники с уникальным дизайном,"Дизайн: Bean-shaped, Звук: AKG, Шумоподавление: Active Noise Cancelation",Samsung,4.2,48,"5.6g","Мистический черный, Мистический белый",1,2023,20,true,"-","-","-","-","музыка"
78,JBL Tune 760NC,audio,8999,Наушники с шумоподавлением,"Шумоподавление: Adaptive, Автономность: 35ч, Складывающиеся",JBL,4.3,67,"220g","Черный, Синий",2,2023,5,true,"-","-","-","-","шумоподавление"
79,Sony WF-C700N,audio,11999,Беспроводные наушники с DSEE,"Звук: DSEE, Шумоподавление: Digital NC, Водозащита: IPX4",Sony,4.1,53,"4.6g","Черный, Белый",1,2023,0,true,"-","-","-","-","аудио"
80,Beats Studio Buds,audio,15999,Наушники с активным шумоподавлением,"Шумоподавление: Active Noise Canceling, Совместимость: Apple/Android, Зарядка: Fast Fuel",Beats,4.4,44,"5.1g","Красный, Белый",1,2023,10,true,"-","-","-","-","аудио"
81,Canon EOS R50,camera,69999,Зеркальная камера для начинающих,"Матрица: 24.2MP, Видео: 4K, Автофокус: Dual Pixel CMOS AF II",Canon,4.5,23,"375g","Черный, Белый",2,2023,0,true,"-","-","-","-","фотография"
82,Sony ZV-1F,camera,44999,Камера для влогеров,"Матрица: 20.1MP, Микрофон: Directional 3-capsule, Экран: Поворотный",Sony,4.3,31,"256g","Черный, Белый",2,2023,8,true,"-","-","-","-","видеоблогинг"
83,GoPro HERO12 Black,action_camera,37999,Экшн-камера для активного отдыха,"Видео: 5.3K, Стабилизация: HyperSmooth 6.0, Водозащита: 10м",GoPro,4.6,28,"154g","Черный",2,2023,5,true,"-","-","-","-","экшн"
87,Logitech MX Keys,keyboard,8999,Беспроводная клавиатура для продуктивности,"Подсветка: Intelligent illumination, Совместимость: Multi-Device, Автономность: 10 дней",Logitech,4.6,57,"810g","Графитовый, Бледно-серый",2,2023,5,true,"-","-","-","-","продуктивность"
88,Apple Magic Keyboard,keyboard,12999,Клавиатура с Touch ID,"Подсветка: да, Touch ID, Совместимость: Mac, Материал: алюминий",Apple,4.5,34,"0.4kg","Серебристый, Черный",1,2023,0,true,"-","-","-","-","продуктивность"
89,Logitech MX Master 3S,mouse,9999,Беспроводная мышь для профессионалов,"Разрешение: 8000 DPI, Колесо: MagSpeed, Автономность: 70 дней",Logitech,4.7,49,"141g","Графитовый, Бледно-серый",2,2023,8,true,"-","-","-","-","продуктивность"
90,Razer DeathAdder Essential,mouse,2999,Игровая мышь с эргономичным дизайном,"Разрешение: 6400 DPI, Кнопки: 5, Подсветка: зеленый",Razer,4.2,78,"82g","Черный",1,2023,15,true,"-","-","-","-","гейминг"
91,Amazon Echo Dot 4,smart_home,4999,Умная колонка с Alexa,"Динамик: 1.6"", Голосовой помощник: Alexa, Подключение: Wi-Fi",Amazon,4.3,124,"341g","Темно-синий, Белый",1,2023,0,true,"-","-","-","-","умный дом"
92,Google Nest Hub 2,smart_home,8999,Умный дисплей с Google Assistant,"Экран: 7"" LCD, Голосовой помощник: Google Assistant, Камера: для жестов",Google,4.4,67,"558g","Песочный, Белый",2,2023,10,true,"-","-","7"","-","умный дом"
93,Apple HomePod mini,smart_home,9999,Умная колонка с Siri,"Звук: 360°, Голосовой помощник: Siri, Совместимость: Apple devices",Apple,4.5,58,"345g","Белый, Темно-серый",1,2023,0,true,"-","-","-","-","аудио"
96,PlayStation 5,gaming_console,49999,Игровая консоль нового поколения,"Процессор: AMD Ryzen Zen 2, Графика: AMD RDNA 2, Совместимость: 4K 120Hz",Sony,4.9,8,"4.5kg","Белый",2,2023,0,true,"825GB SSD","16GB","-","-","гейминг"
97,Xbox Series X,gaming_console,47999,Мощная игровая консоль,"Процессор: Custom Zen 2, Графика: 12 TFLOPS, Разрешение: 8K",Microsoft,4.8,11,"4.4kg","Черный",2,2023,5,true,"1TB SSD","16GB","-","-","гейминг"
98,Nintendo Switch,gaming_console,29999,Гибридная игровая консоль,"Режимы: TV/Tabletop/Handheld, Контроллеры: Joy-Con, Экран: 6.2"" LCD",Nintendo,4.7,34,"398g","Неон, Серый",2,2023,10,true,"32GB","4GB","6.2"","4310mAh","гейминг"
99,Steam Deck,gaming_handheld,49999,Портативная игровая система,"Экран: 7"" 60Hz, Процессор: AMD APU, Память: 16GB LPDDR5",Valve,4.6,16,"669g","Черный",1,2023,0,true,"256GB SSD","16GB","7"","40Wh","гейминг"
100,ASUS ROG Ally,gaming_handheld,59999,Игровая консоль на Windows,"Экран: 7"" 120Hz, Процессор: AMD Z1 Extreme, ОС: Windows 11",ASUS,4.5,12,"608g","Белый",2,2023,8,true,"512GB SSD","16GB","7"","40Wh","гейминг"